City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
98,Baikunthpur,IN,2019-11-11 05:04:42,23.26,82.56,78.06,34,0,6.96,clear sky,0,0
99,Klaksvik,FO,2019-11-11 05:04:42,62.23,-6.59,39.2,71,100,25.28,light rain,0.31,0
100,Rodrigues Alves,BR,2019-11-11 05:04:43,-7.74,-72.65,73.4,100,40,3.36,scattered clouds,0,0
101,Vestmannaeyjar,IS,2019-11-11 05:04:43,63.44,-20.27,44.46,78,100,16.11,light rain,1.13,0
102,Lebu,ET,2019-11-11 05:04:43,8.96,38.73,57.2,62,74,8.05,broken clouds,0,0
103,Kapaa,US,2019-11-11 05:04:43,22.08,-159.32,78.8,94,75,4.7,broken clouds,0,0
104,Sao Filipe,CV,2019-11-11 05:04:44,14.9,-24.5,73.83,83,67,16.22,broken clouds,0,0
105,Kuala Terengganu,MY,2019-11-11 05:04:44,5.33,103.14,86.0,70,75,6.93,broken clouds,0,0
106,Yellowknife,CA,2019-11-11 05:00:08,62.45,-114.38,12.0,78,75,6.93,light snow,0,0
107,Camabatela,AO,2019-11-11 05:04:45,-8.19,15.37,66.07,96,100,3.83,moderate rain,4.13,0
108,Castro,CL,2019-11-11 05:04:45,-42.48,-73.76,51.8,100,49,5.82,scattered clouds,0,0
109,Pisco,PE,2019-11-11 05:04:47,-13.71,-76.2,63.0,88,99,3.36,smoke,0,0
110,Sehwan,PK,2019-11-11 05:04:47,26.43,67.86,60.8,72,20,5.03,haze,0,0
111,Taunsa,PK,2019-11-11 05:04:47,30.7,70.65,77.67,16,95,1.95,overcast clouds,0,0
112,Lompoc,US,2019-11-11 05:00:32,34.64,-120.46,55.99,93,90,4.7,mist,0,0
113,Hithadhoo,MV,2019-11-11 05:04:48,-0.6,73.08,83.41,68,100,7.34,overcast clouds,0,0
114,Marzuq,YE,2019-11-11 05:04:48,14.4,46.47,74.03,40,0,4.09,clear sky,0,0
115,Albany,US,2019-11-11 05:00:18,42.65,-73.75,42.01,93,90,4.7,overcast clouds,0,0
116,Tessalit,ML,2019-11-11 05:04:48,20.2,1.01,63.16,19,73,11.77,broken clouds,0,0
117,Ontario,US,2019-11-11 05:03:52,34.07,-117.65,66.2,67,1,2.17,clear sky,0,0
118,Cuamba,MZ,2019-11-11 05:04:08,-14.8,36.54,84.67,49,68,6.26,broken clouds,0,0
119,Upernavik,GL,2019-11-11 05:04:49,72.79,-56.15,24.93,62,88,3.47,overcast clouds,0,0
120,Inuvik,CA,2019-11-11 05:04:49,68.36,-133.71,10.4,51,5,4.7,clear sky,0,0
121,Ouadda,CF,2019-11-11 05:04:49,8.07,22.4,72.14,43,57,4.65,broken clouds,0,0
122,Talnakh,RU,2019-11-11 05:04:50,69.49,88.39,-5.81,83,75,6.71,shower snow,0,0
123,Avera,US,2019-11-11 05:04:50,33.19,-82.53,48.99,100,1,4.38,clear sky,0,0
124,Birjand,IR,2019-11-11 05:04:50,32.86,59.22,46.4,24,0,11.41,clear sky,0,0
